net,length_um
_0359_,18.105
_1013_,18.045
_0780_,18.02
_0219_,17.96
_0449_,17.76
_0357_,17.685
_0957_,17.66
_0015_,17.6
_0974_,17.56
_1025_,17.5
_0174_,17.48
_0693_,17.46
_0191_,17.38
_0945_,17.38
_0604_,17.26
_0864_,17.24
_0052_,17.14
_0611_,17.14
_0013_,17.07
_0562_,17.06
net107,17
_0418_,16.99
_0083_,16.83
_0620_,16.74
_0081_,16.72
_1052_,16.66
_0597_,16.64
_0465_,16.6
_0813_,16.58
_0792_,16.54
_0935_,16.54
_0078_,16.44
_1087_,16.44
_1055_,16.42
_1047_,16.38
_0295_,16.3
_0000_,16.28
_0707_,16.28
_0981_,16.26
data_out[18],16.26
_0401_,16.2
_0758_,16.2
_0531_,16.14
_0199_,16.12
_0215_,16.1
_0139_,16.06
_0399_,16.02
_1062_,15.98
_0129_,15.92
_0230_,15.86
_0978_,15.86
_0701_,15.8
_0563_,15.76
_0093_,15.72
_0944_,15.64
_0674_,15.62
_0844_,15.58
_0356_,15.56
_0645_,15.56
_0341_,15.52
_0477_,15.48
_0538_,15.465
_1075_,15.4
_0438_,15.34
_0619_,15.34
_0625_,15.32
_1108_,15.14
_0642_,15.1
_0287_,15.06
_0365_,15.02
_0729_,15.02
_0056_,14.92
_0499_,14.9
_0668_,14.88
_0102_,14.8
_0692_,14.76
_0807_,14.74
_0115_,14.7
_0536_,14.66
_0360_,14.6
_0296_,14.58
_0374_,14.5
_0823_,14.46
_0349_,14.42
_0953_,14.42
_0952_,14.38
_0940_,14.3
_0682_,14.28
net103,14.27
_0490_,14.22
_0586_,14.22
_0600_,14.22
_0677_,14.2
_0628_,14.08
_0975_,14.06
_0565_,14.01
_1105_,14
data_out[20],13.98
_0167_,13.9
_0149_,13.8
_0688_,13.8
_0396_,13.74
_0801_,13.64
_0395_,13.52
_0606_,13.52
_0049_,13.415
_0528_,13.38
_0539_,13.38
_0436_,13.3
_0579_,13.3
_0602_,13.2
data_in1[2],13.18
_0212_,13.12
_1138_,13.08
_0868_,13
_0523_,12.96
_0548_,12.88
_0759_,12.88
_0061_,12.84
_0354_,12.84
_0468_,12.76
_0670_,12.76
_0903_,12.74
_0116_,12.72
data_in1[30],12.72
_0064_,12.68
_0084_,12.64
_0489_,12.62
data_out[31],12.62
data_out[5],12.62
_0736_,12.605
_0299_,12.595
_0065_,12.52
_0125_,12.5
_0340_,12.46
_0524_,12.44
net126,12.42
_0882_,12.34
_1019_,12.34
_0027_,12.3
_1024_,12.3
_0685_,12.28
_0466_,12.27
data_in2[12],12.24
_0951_,12.18
_0879_,12.14
net108,12.1
net124,12.1
_0308_,12.08
_0323_,12.06
_1106_,12.05
_0001_,12.04
_0270_,11.96
_0851_,11.92
_1054_,11.92
_0304_,11.8
_0364_,11.8
data_in2[26],11.8
net118,11.66
net122,11.62
_0474_,11.6
_0930_,11.6
_0592_,11.56
_0289_,11.54
_0607_,11.54
_1027_,11.54
_0163_,11.52
_0351_,11.48
data_in1[23],11.48
_0320_,11.46
_0666_,11.45
data_in1[14],11.45
_0646_,11.44
_0846_,11.4
_0228_,11.38
_0435_,11.38
_0803_,11.38
_0933_,11.38
_1031_,11.38
_0325_,11.34
_0728_,11.34
data_in1[7],11.34
_0106_,11.28
_0556_,11.28
_0005_,11.26
data_out[10],11.26
data_out[19],11.26
data_out[30],11.26
data_out[6],11.26
_0958_,11.25
_0825_,11.24
data_in2[14],11.22
_0567_,11.2
_0126_,11.19
_0218_,11.16
_0276_,11.16
_0788_,11.16
_0932_,11.14
_0874_,11.04
_0186_,11.02
_0591_,11.02
data_in1[17],11.02
data_in2[1],11.02
_0616_,10.995
_0209_,10.96
_0859_,10.9
control[0],10.88
control[1],10.88
data_in1[19],10.88
data_in1[27],10.88
_0805_,10.82
_0584_,10.8
_0162_,10.795
_0627_,10.78
_0485_,10.64
_0475_,10.62
_1026_,10.6
_0860_,10.5
_0847_,10.46
_0613_,10.44
data_in1[10],10.42
data_in1[20],10.42
data_in1[29],10.42
data_in1[8],10.42
data_in2[15],10.42
data_in2[24],10.42
data_in2[6],10.42
_0269_,10.4
_1035_,10.4
_0507_,10.39
data_out[16],10.32
data_out[21],10.32
data_out[3],10.32
data_out[4],10.32
_0557_,10.28
_0787_,10.28
net101,10.26
_0973_,10.24
_0631_,10.21
_0521_,10.2
_0004_,10.16
_0574_,10.16
_0472_,10.08
_0925_,10.08
_0384_,10.04
_0526_,9.98
_0731_,9.96
data_in2[18],9.96
_0419_,9.94
_0735_,9.94
_0732_,9.92
_0926_,9.92
_0343_,9.9
_0684_,9.89
_0959_,9.88
_0150_,9.86
_0387_,9.82
_0141_,9.78
net123,9.78
_0691_,9.76
_0329_,9.74
_0615_,9.72
_1084_,9.72
_0166_,9.62
net104,9.615
_0109_,9.6
_1050_,9.6
_0182_,9.58
_0590_,9.54
net110,9.52
_0519_,9.5
_0427_,9.48
_0527_,9.46
data_in2[31],9.43
_0394_,9.42
_0921_,9.42
_0610_,9.36
_1038_,9.36
_0463_,9.28
data_in2[5],9.27
_0082_,9.26
_0216_,9.24
_0170_,9.2
_0928_,9.16
net125,9.14
_0476_,9.12
_0980_,9.12
_0722_,9.08
_0750_,9.06
_0608_,9.04
_0612_,9.04
_0854_,9.04
_0066_,9.02
_0609_,9.02
net113,8.98
data_out[12],8.96
data_out[14],8.96
data_out[1],8.96
data_out[22],8.96
data_out[27],8.96
data_out[28],8.96
_0638_,8.94
_1079_,8.92
_0558_,8.9
_0785_,8.9
_0990_,8.9
net109,8.9
_0032_,8.84
data_in1[11],8.84
data_in1[12],8.84
data_in2[10],8.84
data_in2[28],8.84
data_in2[2],8.84
_0982_,8.82
_0709_,8.78
_0912_,8.78
_0575_,8.76
_0581_,8.74
data_in1[13],8.72
data_in1[16],8.72
data_in2[25],8.72
data_in2[27],8.72
data_in2[3],8.72
data_in2[9],8.72
_0327_,8.715
_0031_,8.68
_0342_,8.66
_0748_,8.62
_0791_,8.62
data_in2[11],8.61
_0345_,8.6
