net,length_um
_09641_,2302.65
_08982_,2302.28
_08617_,2300.79
_09234_,2299.17
_09957_,2299.04
_09502_,2298.65
_09056_,2297.29
_09739_,2295.03
_08786_,2294.965
_08546_,2291.18
_09967_,2290.29
_09558_,2289.645
_08796_,2288.705
_09051_,2287.68
_09216_,2286.815
_09423_,2286.165
_08344_,2285.1
_08354_,2285.03
_08311_,2284.79
_08912_,2283.795
_09219_,2281.29
_09446_,2280.31
_08276_,2279.985
_10616_,2279.83
_08388_,2278.44
_08573_,2277.34
_10203_,2276.98
_08564_,2275.965
_09208_,2275.785
_09025_,2275.685
_09246_,2274.86
_08899_,2273.79
_10178_,2273.09
_08890_,2261.235
_08297_,2259.81
_17107_,2257.17
_08400_,2256.98
_09269_,2255.945
_08456_,2255.31
_16670_,2255.03
_09431_,2254.37
_09588_,2253.535
_09600_,2250.33
_08634_,2249.96
_08386_,2249.25
_08557_,2248.28
_08906_,2246.8
_10658_,2246.02
_08677_,2244.44
_16676_,2243.85
_17111_,2243.71
_09437_,2243.58
_09594_,2242.25
_09585_,2240.6
_09359_,2235.64
_10101_,2235.18
_08655_,2235.04
_09576_,2235.025
_09120_,2228.09
_09008_,2227.52
_17130_,2227.05
_08775_,2224.665
_09080_,2223.02
_08490_,2222.71
_09472_,2222.63
_08868_,2220.61
_09000_,2220.16
_09578_,2218.95
_08951_,2218.71
_09796_,2218.615
_08277_,2218.48
_09358_,2217.265
_10641_,2215.05
_09021_,2209.775
_09119_,2209.66
_08333_,2208.92
_09507_,2205.45
_10602_,2205.05
_09562_,2204.48
_09444_,2204.23
_09737_,2200.77
_08992_,2198.46
_09037_,2196.555
_09439_,2195.085
_12033_,2194.655
_08883_,2190.6
_10568_,2190.57
_09596_,2187.83
_08604_,2187.57
_08774_,2187.4
_09844_,2186.995
_17126_,2185.78
_09127_,2185.25
_08851_,2184.29
net23,2184.2
_13056_,2180.64
_08688_,2180.15
_08397_,2179.81
_10277_,2177.595
_09240_,2177.23
_08568_,2176.385
_08687_,2173.705
_09210_,2173.53
_10728_,2172.58
_09829_,2172.26
_08449_,2170.71
_09353_,2169.19
_08591_,2167.97
_09514_,2166.84
_08484_,2166.82
_08358_,2166.765
_11020_,2165.895
_08917_,2164.77
_09114_,2164.77
_09035_,2164.2
_08542_,2164.08
_08547_,2162.67
_09186_,2161.78
_08383_,2161.69
_09650_,2159.93
_08980_,2158.48
_09215_,2156.525
_10358_,2155.76
_08587_,2155.16
_09448_,2154.11
_08683_,2154.08
_08724_,2153.955
_08258_,2153.49
_10100_,2152.85
_17113_,2152.43
_10618_,2152
_09422_,2151.625
_09468_,2151.37
_08869_,2149.21
_09082_,2148.685
_08515_,2147.995
_10069_,2147.52
_08975_,2146.585
_16698_,2145.025
_10135_,2144.75
_17109_,2139.755
_09226_,2138.61
_08928_,2138.08
_08715_,2137.14
_08953_,2136.25
_09184_,2135.58
_08551_,2135.155
_10421_,2134.69
_10150_,2133.395
_09373_,2133.285
_10469_,2131.085
_16733_,2130.24
_08524_,2128.26
_08959_,2125.44
_09084_,2123.7
_08983_,2123.3
_11326_,2122.96
_09178_,2122.9
_08495_,2120.835
_09620_,2120.29
_08861_,2118.92
_08316_,2115.47
_10171_,2112.98
_08600_,2109.26
_09524_,2108.265
_08352_,2107.42
_09221_,2107.02
_16710_,2105.46
_10233_,2102.75
net35,2100.43
_08858_,2100.41
_09185_,2099.745
_10499_,2098.87
_08785_,2098.56
_08621_,2098.34
_08539_,2095.87
_09943_,2094.91
_09103_,2094.24
_09727_,2093.23
_10089_,2092.52
_09124_,2091.67
_09824_,2091.055
_08503_,2089.22
_10070_,2087.69
_17118_,2087.63
_09519_,2086.015
_08748_,2084.65
_08866_,2083.515
_08488_,2083.215
_16682_,2082.45
_08520_,2081.44
_08413_,2081.35
_08367_,2079.74
_09809_,2079.05
_16730_,2078.32
_09272_,2076.86
_09391_,2071.46
_08725_,2069.8
_10601_,2067.575
_10567_,2066.11
_09549_,2065.18
_08282_,2060.435
_08968_,2060.2
_08601_,2059.26
_10335_,2056.22
_09075_,2055.035
_17128_,2054.26
_10250_,2051.3
_08560_,2050.14
_09378_,2050.07
_08656_,2049.975
_09522_,2049.36
_11209_,2048.14
_09151_,2047.82
_09660_,2047.13
_08452_,2044.27
_09482_,2043.585
_08740_,2043.085
_09825_,2042.1
